Stores,False,True
Android,56043,4204
Apple II,59858,389
Game Boy,59757,490
Game Boy Advance,59504,743
Game Boy Color,59924,323
Linux,53605,6642
Nintendo 3DS,59396,851
Nintendo 64,59936,311
Nintendo DS,59243,1004
Nintendo Switch,56106,4141
PC,13102,47145
PSP,59483,764
PlayStation,58950,1297
PlayStation 2,58799,1448
PlayStation 3,57783,2464
PlayStation 4,54701,5546
PlayStation 5,59502,745
Web,59753,494
Wii,58969,1278
Wii U,59464,783
Xbox,59617,630
Xbox 360,58164,2083
Xbox One,55607,4640
Xbox Series S/X,59576,671
iOS,54020,6227
macOS,49513,10734
